//File size, compression time (seconds), uncompression time (seconds)
100000	0.115	0.117
200000	0.181	0.219
300000	0.267	0.322
400000	0.357	0.428
500000	0.442	0.536
600000	0.53	0.639
700000	0.615	0.751
800000	0.701	0.865
900000	0.803	0.958
1000000	0.873	1.06
1100000	0.959	1.167
1200000	1.039	1.27
1300000	1.13	1.374
1400000	1.213	1.476
1500000	1.302	1.595
1600000	1.388	1.691
1700000	1.483	1.802
1800000	1.58	1.913
1900000	1.658	2.024
2000000	1.749	2.124
2100000	1.831	2.224
2200000	1.923	2.349
2300000	2.029	2.449
2400000	2.102	2.549
2500000	2.181	2.673
2600000	2.326	2.789
2700000	2.39	2.917
2800000	2.476	3.013
2900000	2.555	3.116
3000000	2.655	3.299
3100000	2.769	3.409
3200000	2.909	3.513
3300000	2.937	3.571
3400000	2.989	3.628
3500000	3.082	3.733
3600000	3.169	3.886
3700000	3.278	3.977
3800000	3.34	4.051
3900000	3.432	4.172
4000000	3.522	4.304
4100000	3.617	4.395
4200000	3.704	4.497
4300000	3.792	4.634
4400000	3.961	4.823
4500000	4.114	4.929
4600000	4.116	5.011
4700000	4.239	5.152
4800000	4.282	5.264
4900000	4.41	5.351
5000000	4.517	5.409
5100000	4.508	5.526
5200000	4.605	5.594
5300000	4.661	5.644
5400000	4.779	5.783
5500000	4.849	5.882
5600000	4.931	6.051
5700000	5.133	6.139
5800000	5.111	6.233
5900000	5.183	6.301
6000000	5.316	6.401
6100000	5.355	6.525
6200000	5.449	6.639
6300000	5.539	6.709
6400000	5.634	6.848
6500000	5.779	6.98
6600000	5.955	7.268
6700000	5.999	7.296
